event_name;sport;date;city;country;address;latitude;longitude;distance;description;event_url;data_source;image
Hiltruper Halbmarathon;Running;23.08.2026;Münster;Germany;Münster, Germany;51.9625101;7.6251879;Half Marathon;Official local running event in Münster. Distances: Half Marathon. Discovered via Kilometerliebe and linked to the official event website.;https://www.tus-hiltrup.de;Kilometerliebe Discovery;
Himmelgeister Brückenlauf;Running;13.06.2026;Düsseldorf;Germany;Düsseldorf, Germany;51.2254018;6.7763137;Half Marathon;Official local running event in Düsseldorf. Distances: Half Marathon. Discovered via Kilometerliebe and linked to the official event website.;https://himmelgeister-brueckenlauf.de;Kilometerliebe Discovery;
HimmelswegeLauf Marathon;Running;13.06.2026;Nebra;Germany;Nebra, Germany;51.2873083;11.5787877;10 km, Half Marathon, Marathon;Official local running event in Nebra. Distances: 10 km, Half Marathon, Marathon. Discovered via Kilometerliebe and linked to the official event website.;http://www.himmelswegelauf.de;Kilometerliebe Discovery;
Hörnlelauf Konstanz;Running;11.10.2026;Konstanz;Germany;Konstanz, Germany;47.659216;9.1750718;5 km, 10 km;Official local running event in Konstanz. Distances: 5 km, 10 km. Discovered via Kilometerliebe and linked to the official event website.;https://konstanzer-laeufe.de/hoernlelauf/;Kilometerliebe Discovery;
Hofmühl-Volksfest Halbmarathon;Running;30.08.2026;Eichstätt;Germany;Eichstätt, Germany;48.8933417;11.1838965;Half Marathon;Official local running event in Eichstätt. Distances: Half Marathon. Discovered via Kilometerliebe and linked to the official event website.;https://www.sv-marienstein.de;Kilometerliebe Discovery;
Ingelheimer Halbe;Running;31.05.2026;Ingelheim;Germany;Ingelheim, Germany;49.9752749;8.0547274;5 km, 10 km, Half Marathon;Official local running event in Ingelheim. Distances: 5 km, 10 km, Half Marathon. Discovered via Kilometerliebe and linked to the official event website.;https://www.der-ingelheimer-halbe.de;Kilometerliebe Discovery;
Internationaler Schwarzwald-Marathon;Running;11.10.2026;Bräunlingen;Germany;Bräunlingen, Germany;47.9300645;8.448329;Half Marathon, Marathon;Official local running event in Bräunlingen. Distances: Half Marathon, Marathon. Discovered via Kilometerliebe and linked to the official event website.;http://www.schwarzwald-marathon.de;Kilometerliebe Discovery;
Internationaler Trierer Stadtlauf;Running;28.06.2026;Trier;Germany;Trier, Germany;49.7596208;6.6441878;10 km, Half Marathon;Official local running event in Trier. Distances: 10 km, Half Marathon. Discovered via Kilometerliebe and linked to the official event website.;https://spoferan.com/en/events/40-int-trierer-stadtlauf-2026/;Kilometerliebe Discovery;
Ipf-Ries Halbmarathon;Running;09.05.2026;Nördlingen;Germany;Nördlingen, Germany;48.8516578;10.4885873;Half Marathon;Official local running event in Nördlingen. Distances: Half Marathon. Discovered via Kilometerliebe and linked to the official event website.;https://ipf-ries-halbmarathon.de;Kilometerliebe Discovery;
Ith-Hils-Ultratrail;Ultramarathon;25.04.2026;Salzhemmendorf;Germany;Salzhemmendorf, Germany;52.0669535;9.585096;81 km;Official local running event in Salzhemmendorf. Distances: 81 km. Discovered via Kilometerliebe and linked to the official event website.;https://running-paule.de/;Kilometerliebe Discovery;
